time_block,TPR,game_state
15-30,0.3621529990929515,level
15-30,0.361523661542414,level
15-30,0.3330140851825069,level
15-30,0.2821985878920809,level
15-30,0.3435325440996549,level
15-30,0.3749608167519385,level
15-30,0.3592031393131001,level
15-30,0.329177957684053,level
15-30,0.3136704197418507,level
15-30,0.3479525288033711,level
15-30,0.3398755514540167,level
15-30,0.3068245152612041,level
15-30,0.3582725355201669,level
15-30,0.3497035815917209,level
15-30,0.4936297531985254,level
15-30,0.3172241123847783,level
15-30,0.4721374007130743,level
15-30,0.5880584098710395,level
15-30,0.586797377915709,level
15-30,0.7231892052084461,level
15-30,0.4366314896076711,level
15-30,0.3489055219709738,level
15-30,0.4164313790973979,level
15-30,0.4285653198042876,level
15-30,0.3236309035179389,level
15-30,0.2495055125445356,level
15-30,0.2511306864379301,level
15-30,0.294088816655308,level
15-30,0.2615855329292963,level
15-30,0.4646418753364664,level
15-30,0.234396765639849,level
15-30,0.3015690332465308,level
15-30,0.3178219734014197,level
15-30,0.3056338187607475,level
15-30,0.2703455255864198,level
15-30,0.3081059512142207,level
15-30,0.3511850112280106,level
15-30,0.3402527050154501,level
15-30,0.3110066733992904,level
15-30,0.4117239201533129,level
15-30,0.5241569166391876,level
15-30,0.5600255169556076,level
15-30,0.5903447345260844,level
15-30,0.2753700378042264,level
15-30,0.302616705301122,level
15-30,0.2652835240139177,level
15-30,0.2656789513790639,level
15-30,0.2568281543617754,level
15-30,0.2618529591891715,level
15-30,0.2739529795326183,level
15-30,0.2768799253778963,level
15-30,0.2939627506969329,level
15-30,0.3108315692354851,level
15-30,0.2941509368674177,level
15-30,0.553343337386362,level
15-30,0.3169724069776803,level
15-30,0.3360835600419469,level
15-30,0.2901696877789737,level
15-30,0.2914303725076013,level
15-30,0.3145411284132407,level
15-30,0.3288890642708313,level
15-30,0.428366876203929,level
15-30,0.451520331112095,level
15-30,0.4821622934011501,level
15-30,0.3985426080794751,level
15-30,0.3814616854638523,level
15-30,0.557838869036623,level
15-30,0.3775066081736156,level
15-30,0.4574434417045929,level
15-30,0.5371781305430374,level
15-30,0.5567777382092438,level
15-30,0.4630038686536063,level
15-30,0.2416460748856404,level
15-30,0.2767108523141365,level
15-30,0.2717923394171973,level
15-30,0.3420217940885957,level
15-30,0.5162813889879638,level
15-30,0.531537220667224,level
15-30,0.6027302600237917,level
15-30,0.59796143774236,level
15-30,0.3937766826955825,level
15-30,0.2018300328010597,level
15-30,0.2085630953632011,level
15-30,0.2271355200189335,level
15-30,0.2895825660047785,level
15-30,0.2779486011117172,level
15-30,0.3033966900581793,level
15-30,0.3983005253190086,level
15-30,0.3339147967889839,level
15-30,0.4127066068017299,level
15-30,0.4240258338285276,level
15-30,0.412258962689563,level
15-30,0.3890810421585647,level
15-30,0.5307507429951515,level
15-30,0.6792676862880578,level
15-30,0.4161416890242567,level
15-30,0.4454660202156902,level
15-30,0.26543114591322,level
15-30,0.2891836232689515,level
15-30,0.3446637496549969,level
15-30,0.3510166995951846,level
15-30,0.2931955675492508,level
15-30,0.3169405970206976,level
15-30,0.2686765088859544,level
15-30,0.2674243200175943,level
15-30,0.3087424809142751,level
15-30,0.2823347285375554,level
15-30,0.2631321045370416,level
15-30,0.2784710596975911,level
15-30,0.3270843753019677,level
