object_id,player_name,match_id,times_flagged,avg_gap_m
DFL-OBJ-J01U8L,Conrad Harder Weibel Schandorf,DFL-MAT-J041VR,8,30.82261704463457
DFL-OBJ-002GAR,Edmond Fayçal Tapsoba,DFL-MAT-J0422G,8,28.30017405363807
DFL-OBJ-002G5B,Paul Nebel,DFL-MAT-J041VN,8,30.595271303200327
DFL-OBJ-0001V0,Ihlas Bebou,DFL-MAT-J041XN,8,20.20948913195674
DFL-OBJ-J024SW,Jenson Seelt,DFL-MAT-J041W5,8,29.58854345168742
DFL-OBJ-J021B9,Nikolas Konrad Veratschnig,DFL-MAT-J041VN,8,28.871600930275832
DFL-OBJ-J01FUR,Alexis Julian Claude-Maurice,DFL-MAT-J041WT,8,28.90438491809387
DFL-OBJ-J01N1P,Rodrigo Duarte Ribeiro,DFL-MAT-J04215,8,23.481800896439786
DFL-OBJ-J01KO9,Jarell Amorin Quansah,DFL-MAT-J0422G,8,33.394105339802096
DFL-OBJ-J01GQO,Danilho Raimundo Doekhi,DFL-MAT-J041ZN,8,32.44484603926957
DFL-OBJ-0027YK,Deniz Undav,DFL-MAT-J041X5,8,28.39806897031079
DFL-OBJ-J01AE6,Minjae Kim,DFL-MAT-J041Z5,8,21.28137100071678
DFL-OBJ-0027UK,Stefan Posch,DFL-MAT-J041ZQ,8,25.673235034700618
DFL-OBJ-002GCU,Malik Leon Tillman,DFL-MAT-J041YE,8,30.52104334049028
DFL-OBJ-J01C0A,Andreas Skov Olsen,DFL-MAT-J041W5,8,25.68681870848051
DFL-OBJ-J01QPQ,Ibrahim Maza,DFL-MAT-J041YE,8,33.40170382911046
DFL-OBJ-J0244Y,Leon Avdullahu,DFL-MAT-J0421W,7,27.57747166462911
DFL-OBJ-0000HO,Willi Thomas Orbán,DFL-MAT-J04205,7,29.077234409084035
DFL-OBJ-J01R6O,Kacper Potulski,DFL-MAT-J041ZQ,7,26.724349200787465
DFL-OBJ-J01DOV,Castello Junior Lukeba,DFL-MAT-J041VR,7,17.96973894645476
DFL-OBJ-0028T1,Nico Cedric Schlotterbeck,DFL-MAT-J041WN,7,35.966234484664675
DFL-OBJ-J00ZZ3,Harry Edward Kane,DFL-MAT-J041Z5,7,27.46874080302263
DFL-OBJ-J01KAJ,Keke Maximilian Topp,DFL-MAT-J041XE,7,27.59680538200889
